,isbn_numbers,price_list,book_urls,isbn
11, UPC:Does not apply ISBN:9781333634315,$5.95,https://www.ebay.com/itm/165292825922?epid=247343175&_trkparms=ispr%3D1&hash=item267c385d42%3Ag%3AQQEAAOSw6pxh6Y2t&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSLY2M1Gjmuwt9c03vWNfiRhP1CAujT8AgYY0%252BoReyE6Yujlbe6QfgoNN98eJJh%252Fjwp7Js0YAJ4k551ZT7dJPHol7C0cGE42lm2MzLQGuIl80e4Xze1EySOZAlkV2Fn85LbemhB4tgWoshqGRuxjJR2HzZy2p93ZQW5jdKttytdkhSYUbhoeDjj2w9oVfD4G04aekV8UHayHVdoVkxKX1%252FDeXyZVzM0d%252BB2JSoihXziSNOtuOChuDFytYgWOWyqsv9mVGB2VyPbkW1RIJHSfDa2PALdddQzzJPPWVDoKvGDhSC3imjtGXUNuEhpkkqipe7F1SX3u3cizmlRzCqPXzbk81cfbFGNLHoXsFUvECyIFXGn4Stow5KRfJnlAyxsOeiVH4OcBUAClOCH94u9%252BXv2HKlTjG9Cn%252Fztf9KYo2GYETIyMqpUSO1d3Ss2KgEtBJudJtph3Q0pECue5jC7tGO7CNQiBQG9YcZU8YzQH%252FcZmHCU3K98edIgUTkIPpk5kFTFeIlPA3NuAy24LMu4UUkuSuYjP5ynywK0FeWVXte2Nfh7gJQhNNSyyKMkW%252B8rzTwTR9mK6i6eysHoL%252B2x8a3x1FS1Qbs%252B8OPe5RjuCmZhRpJKWsbR57oOL4nIj%252Br7q8UXJtAWPmAF20ImeVR3%252FVHddxXAlUlv0dMknVc8sSh3N2ZVl6bJK1pGU7PK641ELEONdLtQF4lPQtp1X5cQvHX7uMirQrXwnbzfaMQWH7ACZ03nKzxcTczVRaxvFNRjs%252BlQZNrL6ZJVSZslI88wSaUG%252Fm7qlElt2AHXnPRl0Y9jU%252BvZ5n6VnAl5V6rcHUdqkSM%7Cclp%3A2334524%7Ctkp%3ABFBMytrSjtFf&LH_BIN=1,9781333634315
12, Subject:Diseases ISBN:9780134618449,$80.00,https://www.ebay.com/itm/325012355264?epid=229079606&_trkparms=ispr%3D1&hash=item4bac3ef8c0%3Ag%3AWioAAOSwsvVh7aXm&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSvhAqMt0wg86xg8aAkgjQJGd12oidU4KjwwpU1D2fzS6e7f%252FOpg4TpT%252BihCB4kheus%252Fj2tfhEs9pjnnlC9ezobK%252FI4eOz1vgkYqyJkG%252F6JilkpMVICYm46AjxTrF%252BtgB69UYNFU%252FdBYYCaYDWqFng%252BhlWBYc7MthavBgDrtlyj%252Fn37ADqUKmZvOD%252Bcpi7PTeA6WsfiiSL%252B21Mq2Nj11DgPo7%252FSg3XDmfbmgux8KrYu0zmzZaAxDMiOT73VYbv4ogNW02T4Z2kf0OajUbg2Ol6cimAoz7CNBKeeRc4F3b7BP9H04e8A8Fo5xdIVOdMWOtbIA1rplIdaezSgpEzjGkSh3abcrw5Rg9oNyTNUz3QUszfg%252Fr04Who74fRk8AJLYZwn8F43cOeu0wsFBW3Rn04VfbdKECif99TSASZWFNeaBwQkaUu18w0biLZ6LTHI7UWBhvUvtHbajrCWhQpTbPip8XqzRS5pDXEAbRK%252BfiLArNGm1yW9ejPyQOWNZtYY%252FT7hZSm8hSgcimWVQEcC7wFF0SWuz4fhvCo6E%252BsLtEDzmra4BFPBI3zNoQt%252B7dwgs0NtzI1IBjU%252BZl%252BM9XoRPj3JNOE1y5o9eiHGdp2tj5T6bABFlS3QkgqdOL1rbRjU1Z7NLHYlZowlidgQFfqP3deMHsnV4pkIJY106pV6vKSrZ6Pay0KBpk1E3DalEQ%252BQTczy%252B925HEP2DoRq0J3axHdv6OKT7RJhaHIjnzdyEKiYAtVb91WfZXVLJtG3IJsN43YLZIJH5a06%252BzyeNinhooYijHn9qCtKXqrITvWGvvkpNRgl9HW30fYaE5SPzBE6kOA%7Cclp%3A2334524%7Ctkp%3ABFBMytrSjtFf&LH_BIN=1,9780134618449
13, Publication Name:Not Available ISBN:9781908269867,$5.95,https://www.ebay.com/itm/165292841080?epid=739360548&_trkparms=ispr%3D1&hash=item267c389878%3Ag%3AtOUAAOSwBNFh6Y%7E6&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSLY2M1Gjmuwt9c03vWNfiRq9VRjF3XmlfJ%252BLrXV6J0uERjL98TKZcysobFUVPxZvH5wS%252Bm6AVps0DmED024m1EhY4QvCfhNMbsIBmm0ufYj7ZBntmLVtt2G0IJtmVvhxC%252F2jSCXkp6%252BmlSN6iW3nY0Ci0b8aE6dH8u%252F7APZ7Fnbx%252BUhg%252BjvFq3ogHAUAYNcj53HJaIgb7byFi1OK8GC54cA2qH6kurtXreYuRxdJLwT3yAybiUa2JL4kVdY8SBYua3%252BgnKSjL3znwjBrOOsFuWv6uOZyI1UkYNm2wAOLASpOHaLGuFFVxJ4tQ5i3GqMMwf6LUPwXrZoGlgtZhlP3TgPHUhtjwgIPb5begi%252BjZ%252B8Cm7oxJ5GPVQZqbHY1OvbeoJX3Zj9VDJMdsV%252BC2U0TjDFYk33NKx3Ym0TJTDFN4G0mmpJy%252Ba2epvPeCog8BOVZytPm%252FPpKWQScoClib4LG2snNXDTAxIEZFFPQgpkTqjVCCiNeba%252FnFdj7YbFRzz%252BAIfeAve747PNvHB%252B%252F9%252FHtrb%252FXxijcXJ2Zk34wx%252B7Cr5xmyn8lDfOLVY1zeL59sG5C41ReNf9VZmiint%252FLTP4F0vN6DsFDBdeMQmJ6R87RJQ6Y5sWKLFscLe3GSEOxjUJYJP7pj1z3sN4Qtj%252FUBxdft9j7eHIW9bJEICNCVNoT6WJJdZBcP47P%252BIIaz9oe143lejY3Csj75dbKb%252F%252FnMduVT8tXAoLK6a7Eh5HKcExCuX7epDGjL6JWrLu0kfjwrg83WKUoUR9T5E%252F9AR0vZx6wKYNgTICz4cxVpJwjrvo7ydBtmqoM2mIcAnIKtN41h3xZN%7Cclp%3A2334524%7Ctkp%3ABFBMytrSjtFf&LH_BIN=1,9781908269867
14, IsTextBook:No ISBN:9781138362000,$50.00,https://www.ebay.com/itm/125114889898?epid=20038852537&hash=item1d216db6aa%3Ag%3ABXgAAOSwUihh7XGu&LH_BIN=1,9781138362000
15, ISBN:9780134752556,$55.90,https://www.ebay.com/itm/333540088730?epid=242868473&hash=item4da889db9a%3Ag%3A%7EAgAAOSwaZVeZfAe&LH_BIN=1,9780134752556
16, Author:Gregory Rickard ISBN:Does Not Apply,$22.99,https://www.ebay.com/itm/175120077866?hash=item28c5f8542a%3Ag%3A3NUAAOSwollh6cXb&LH_BIN=1,
17," Publisher:M.T. Publishing Company, Inc. ISBN:9781938730993",$30.00,https://www.ebay.com/itm/144381589850?epid=26038519017&hash=item219dd0395a%3Ag%3AAIcAAOSwQThh7Dfz&LH_BIN=1,9781938730993
18," Condition:Very Good: A book that does not look new and has been read but is in excellent condition. No obvious ... Read moreabout the conditionVery Good: A book that does not look new and has been read but is in excellent condition. No obvious damage to the cover, with the dust jacket (if applicable) included for hard covers. No missing or damaged pages, no creases or tears, and no underlining/highlighting of text or writing in the margins. May be very minimal identifying marks on the inside cover. Very minimal wear and tear. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ISBN:9780982967621",$13.99,https://www.ebay.com/itm/384693559891?epid=128378447&hash=item599185e253%3Ag%3Agp0AAOSwu8Zh7D3N&LH_BIN=1,9780982967621
19," Condition:Acceptable: A book with obvious wear. May have some damage to the cover but integrity still intact. ... Read moreabout the conditionAcceptable: A book with obvious wear. May have some damage to the cover but integrity still intact. The binding may be slightly damaged but integrity is still intact. Possible writing in margins, possible underlining and highlighting of text, but no missing pages or anything that would compromise the legibility or understanding of the text. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ISBN:9781496377234",$35.60,https://www.ebay.com/itm/115130990068?epid=239533950&hash=item1ace577df4%3Ag%3Ana4AAOSwexpf%7EZ5l&LH_BIN=1,9781496377234
20, ISBN:1947314092 UPC:00609068000405,$9.99,https://www.ebay.com/itm/333724203335?epid=24038779421&hash=item4db3833947%3Ag%3AylQAAOSwUjJexqWZ&LH_BIN=1,
